Competition,Date,Team,Athlete,Results,Rank,Year,Event_ID,Padronizado
12th FINA World Championships 2007,2007-03-30,USA,Natalie COUGHLIN,53.87,4,2007,12th FINA World Championships 2007 - Melbourne,-0.3917011793407589
13th FINA World Championships 2009,2009-07-31,HUN,Evelin VERRASZTO,53.92,8,2009,13th FINA World Championships 2009 - Rome,1.337663353236657
16th FINA World Championships 2015,2015-08-07,USA,Simone MANUEL,53.93,6,2015,16th FINA World Championships 2015 - Kazan,0.6415830638954751
16th FINA World Championships 2015,2015-08-07,USA,Missy FRANKLIN,54.0,7,2015,16th FINA World Championships 2015 - Kazan,0.7323119820221088
7th FINA World Championships 1994,1994-09-05,CHN,Jingyi LE,54.01,1,1994,7th FINA World Championships 1994 - Rome,-1.5111315053299483
World Aquatics Championships - Doha 2024,2024-02-16,BRA,Stephanie BALDUCCINI,54.05,6,2024,World Aquatics Championships - Doha 2024 - Doha,0.8793782152477635
World Aquatics Championships - Doha 2024,2024-02-16,POL,Kornelia FIEDKIEWICZ,54.06,7,2024,World Aquatics Championships - Doha 2024 - Doha,0.8913222317536815
World Aquatics Championships - Fukuoka 2023,2023-07-28,CHN,Junxuan YANG,54.09,8,2023,World Aquatics Championships - Fukuoka 2023 - Fukuoka,1.589359387729349
12th FINA World Championships 2007,2007-03-30,CAN,Erica MORNINGSTAR,54.1,5,2007,12th FINA World Championships 2007 - Melbourne,0.08878560065058032
7th FINA World Championships 1994,1994-09-05,CHN,Bin LU,54.15,2,1994,7th FINA World Championships 1994 - Rome,-1.3216054934632577
11th FINA World Championships 2005,2005-07-29,AUS,Jodie HENRY,54.18,1,2005,11th FINA World Championships 2005 - Montreal,-2.0482325399236103
9th FINA World Championships 2001,2001-07-25,NED,Inge DE BRUIJN,54.18,1,2001,9th FINA World Championships 2001 - Fukuoka,-2.266767213862329
14th FINA World Championships 2011,2011-07-29,USA,Dana VOLLMER,54.19,7,2011,14th FINA World Championships 2011 - Shanghai,1.40667174297148
12th FINA World Championships 2007,2007-03-30,AUS,Jodie HENRY,54.21,6,2007,12th FINA World Championships 2007 - Melbourne,0.3185836258638243
14th FINA World Championships 2011,2011-07-29,USA,Natalie COUGHLIN,54.22,8,2011,14th FINA World Championships 2011 - Shanghai,1.50897514246032
15th FINA World Championships 2013,2013-08-02,CHN,Yi TANG,54.27,7,2013,15th FINA World Championships 2013 - Barcelona,1.0544286173147686
10th FINA World Championships 2003,2003-07-25,FIN,Hanna-Maria SEPPALA,54.37,1,2003,10th FINA World Championships 2003 - Barcelona,-1.6658279800452958
15th FINA World Championships 2013,2013-08-02,USA,Shannon VREELAND,54.49,8,2013,15th FINA World Championships 2013 - Barcelona,1.3711170757574271
10th FINA World Championships 2003,2003-07-25,AUS,Jodie HENRY,54.58,2,2003,10th FINA World Championships 2003 - Barcelona,-0.7885267240966718
World Aquatics Championships - Doha 2024,2024-02-16,CZE,Barbora SEEMANOVA,54.64,8,2024,World Aquatics Championships - Doha 2024 - Doha,1.5840751890965712
10th FINA World Championships 2003,2003-07-25,USA,Jenny THOMPSON,54.65,3,2003,10th FINA World Championships 2003 - Barcelona,-0.4960929721137972
12th FINA World Championships 2007,2007-03-30,SWE,Josefin LILLHAGE,54.67,7,2007,12th FINA World Championships 2007 - Melbourne,1.2795571858464878
11th FINA World Championships 2005,2005-07-29,USA,Natalie COUGHLIN,54.74,2,2005,11th FINA World Championships 2005 - Montreal,-0.21667929065059072
11th FINA World Championships 2005,2005-07-29,FRA,Malia METELLA,54.74,2,2005,11th FINA World Championships 2005 - Montreal,-0.21667929065059072
16th FINA World Championships 2015,2015-08-07,CHN,Duo SHEN,54.76,8,2015,16th FINA World Championships 2015 - Kazan,1.7173688073969824
12th FINA World Championships 2007,2007-03-30,FRA,Malia METELLA,54.77,8,2007,12th FINA World Championships 2007 - Melbourne,1.4884644814948955
11th FINA World Championships 2005,2005-07-29,USA,Amanda WEIR,54.77,4,2005,11th FINA World Championships 2005 - Montreal,-0.11856036658238993
7th FINA World Championships 1994,1994-09-05,GER,Franziska VAN ALMSICK,54.77,3,1994,7th FINA World Championships 1994 - Rome,-0.4822760123393391
10th FINA World Championships 2003,2003-07-25,BLR,Alena POPCHANKA,54.79,4,2003,10th FINA World Championships 2003 - Barcelona,0.08877453185195203
10th FINA World Championships 2003,2003-07-25,AUS,Libby LENTON,54.82,5,2003,10th FINA World Championships 2003 - Barcelona,0.21410328270175968
10th FINA World Championships 2003,2003-07-25,SVK,Martina MORAVCOVA,54.86,6,2003,10th FINA World Championships 2003 - Barcelona,0.38120828383482663
11th FINA World Championships 2005,2005-07-29,NED,Magdalena VELDHUIS,54.9,5,2005,11th FINA World Championships 2005 - Montreal,0.30662163771311585
10th FINA World Championships 2003,2003-07-25,GER,Antje BUSCHSCHULTE,54.91,7,2003,10th FINA World Championships 2003 - Barcelona,0.5900895352511529
11th FINA World Championships 2005,2005-07-29,AUS,Alice MILLS,54.92,6,2005,11th FINA World Championships 2005 - Montreal,0.3720342537585908
11th FINA World Championships 2005,2005-07-29,GRE,Nery Mantey NIANGKOUARA,54.93,7,2005,11th FINA World Championships 2005 - Montreal,0.4047405617813167
8th FINA World Championships 1998,1998-01-08,USA,Jenny THOMPSON,54.95,1,1998,8th FINA World Championships 1998 - Perth,-0.9657357073987197
5th FINA World Championships 1986,1986-08-17,GDR,Kristin OTTO,55.05,1,1986,5th FINA World Championships 1986 - Madrid,-1.5823619382193794
9th FINA World Championships 2001,2001-07-25,GER,Katrin MEISSNER,55.07,2,2001,9th FINA World Championships 2001 - Fukuoka,-0.13192825054225124
8th FINA World Championships 1998,1998-01-08,SVK,Martina MORAVCOVA,55.09,2,1998,8th FINA World Championships 1998 - Perth,-0.7502727607280874
8th FINA World Championships 1998,1998-01-08,CHN,Ying SHAN,55.1,3,1998,8th FINA World Championships 1998 - Perth,-0.7348825502516168
9th FINA World Championships 2001,2001-07-25,GER,Sandra VOLKER,55.11,3,2001,9th FINA World Championships 2001 - Fukuoka,-0.035980431966070064
9th FINA World Championships 2001,2001-07-25,SVK,Martina MORAVCOVA,55.12,4,2001,9th FINA World Championships 2001 - Fukuoka,-0.011993477322029038
8th FINA World Championships 1998,1998-01-08,USA,Amy VAN DYKEN,55.15,4,1998,8th FINA World Championships 1998 - Perth,-0.6579314978692528
7th FINA World Championships 1994,1994-09-05,USA,Jenny THOMPSON,55.16,4,1994,7th FINA World Championships 1994 - Rome,0.04568930643214538
10th FINA World Championships 2003,2003-07-25,NED,Magdalena VELDHUIS,55.17,8,2003,10th FINA World Championships 2003 - Barcelona,1.6762720426161328
6th FINA World Championships 1991,1991-01-07,USA,Nicole HAISLETT,55.17,1,1991,6th FINA World Championships 1991 - Perth,-1.504046267678454
9th FINA World Championships 2001,2001-07-25,BLR,Alena POPCHANKA,55.19,5,2001,9th FINA World Championships 2001 - Fukuoka,0.15591520518629226
11th FINA World Championships 2005,2005-07-29,GER,Daniela GOETZ,55.27,8,2005,11th FINA World Championships 2005 - Montreal,1.516755034554228
6th FINA World Championships 1991,1991-01-07,FRA,Catherine PLEWINSKI,55.31,2,1991,6th FINA World Championships 1991 - Perth,-1.274232922548868
8th FINA World Championships 1998,1998-01-08,GER,Sandra VOLKER,55.33,5,1998,8th FINA World Championships 1998 - Perth,-0.380907709292727
9th FINA World Championships 2001,2001-07-25,CHN,Yanwei XU,55.38,6,2001,9th FINA World Championships 2001 - Fukuoka,0.6116673434231741
