Rank,Event,Swim Time,Name,Gender,Team,Swimmer Country,Meet,Swim Date
13,200 BK LCM,2:12.47,Birgit Treiber,Female,Germany,Germany,,06/04/1976
14,200 BK LCM,2:13.50,Antje Stille,Female,Germany,Germany,,03/13/1976
15,200 BK LCM,2:14.41,Antje Stille,Female,Germany,Germany,,02/29/1976
16,200 BK LCM,2:15.46,Birgit Treiber,Female,Germany,Germany,1975 World Champs,07/19/1975
17,200 BK LCM,2:16.10,Birgit Treiber,Female,Germany,Germany,,06/06/1975
18,200 BK LCM,2:16.33,Nancy Garapick,Female,Canada,Canada,,04/27/1975
19,200 BK LCM,2:17.35,Ulrike Richter,Female,Germany,Germany,,08/25/1974
20,200 BK LCM,2:18.41,Ulrike Richter,Female,Germany,Germany,,07/07/1974
21,200 BK LCM,2:19.19,Melissa Belote,Female,United States,,1972 Olympic Games,08/26/1972
22,200 BK LCM,2:20.58,Melissa Belote,Female,United States,,,09/04/1972
23,200 BK LCM,2:20.64,Melissa Belote,Female,United States,,,08/05/1972
24,200 BK LCM,2:21.50,Susie Atwood,Female,United States,,1969 National Champs,08/14/1969
25,200 BK LCM,2:23.80,Karen Muir,Female,South Africa,South Africa,,07/21/1968
26,200 BK LCM,2:24.10,Karen Muir,Female,South Africa,South Africa,,01/06/1968
27,200 BK LCM,2:24.40,Elaine Tanner,Female,Canada,Canada,,06/26/1967
28,200 BK LCM,2:26.40,Karen Muir,Female,South Africa,South Africa,1966 National Champs,08/18/1966
29,200 BK LCM,2:27.10,Karen Muir,Female,South Africa,South Africa,,07/25/1966
30,200 BK LCM,2:27.40,Cathy Ferguson,Female,United States,,,09/28/1964
31,200 BK LCM,2:28.20,Satoko Tanaka,Female,Japan,Japan,,08/04/1963
32,200 BK LCM,2:28.50,Satoko Tanaka,Female,Japan,Japan,,02/21/1963
33,200 BK LCM,2:28.90,Satoko Tanaka,Female,Japan,Japan,,02/18/1963
34,200 BK LCM,2:29.60,Satoko Tanaka,Female,Japan,Japan,,02/10/1963
35,200 BK LCM,2:31.60,Satoko Tanaka,Female,Japan,Japan,,07/29/1962
36,200 BK LCM,2:32.10,Satoko Tanaka,Female,Japan,Japan,,06/03/1962
37,200 BK LCM,2:33.20,Satoko Tanaka,Female,Japan,Japan,,07/30/1961
38,200 BK LCM,2:33.30,Satoko Tanaka,Female,Japan,Japan,,07/23/1960
39,200 BK LCM,2:33.50,Lynn Burke,Female,United States,,1960 Women's National Champs,07/14/1960
40,200 BK LCM,2:34.80,Satoko Tanaka,Female,Japan,Japan,,04/02/1960
41,200 BK LCM,2:37.10,Satoko Tanaka,Female,Japan,Japan,,07/12/1959
1,50 BR LCM,29.16,Ruta Meilutyte,Female,Lithuania,Lithuania,2023 World Champs,07/30/2023
2,50 BR LCM,29.30,Ruta Meilutyte,Female,Lithuania,Lithuania,2023 World Champs,07/29/2023
2,50 BR LCM,29.30,Benedetta Pilato,Female,Italy,Italy,LEN European Aquatics Championships,05/22/2021
4,50 BR LCM,29.40,Lilly King,Female,United States,United States,2017 World Champs,07/30/2017
5,50 BR LCM,29.48,Ruta Meilutyte,Female,Lithuania,Lithuania,2013 World Champs,08/03/2013
6,50 BR LCM,29.78,Yulia Efimova,Female,Russia,Russia,2013 World Champs,08/03/2013
7,50 BR LCM,29.80,Jessica Hardy,Female,United States,United States,2009 U. S. Open,08/07/2009
8,50 BR LCM,29.95,Jessica Hardy,Female,United States,United States,2009 U. S. Open Time Trials,08/06/2009
9,50 BR LCM,30.09,Yulia Efimova,Female,Russia,Russia,2009 World Champs,07/26/2009
10,50 BR LCM,30.23,Amanda Reason,Female,Canada,Canada,2008 Olympic Invite,03/15/2008
11,50 BR LCM,30.31,Jade Edmistone,Female,Australia,Australia,2006 AUS Commonwealth Games Trials,01/29/2006
12,50 BR LCM,30.45,Jade Edmistone,Female,Australia,Australia,2005 World Champs,07/24/2005
13,50 BR LCM,30.57,Zoe Baker,Female,New Zealand,New Zealand,,07/30/2002
14,50 BR LCM,30.83,Penelope Heyns,Female,South Africa,South Africa,,08/28/1999
15,50 BR LCM,30.95,Penelope Heyns,Female,South Africa,South Africa,1998 US Summer Nationals,08/01/1998
1,100 BR LCM,1:04.13,Lilly King,Female,United States,United States,2017 World Champs,07/25/2017
2,100 BR LCM,1:04.35,Ruta Meilutyte,Female,Lithuania,Lithuania,2013 World Champs,07/29/2013
3,100 BR LCM,1:04.45,Jessica Hardy,Female,United States,United States,2009 U. S. Open,08/07/2009
4,100 BR LCM,1:04.84,Rebecca Soni,Female,United States,United States,2009 World Champs,07/26/2009
5,100 BR LCM,1:05.09,Leisel Jones,Female,Australia,Australia,2006 Commonwealth Games,03/20/2006
6,100 BR LCM,1:05.71,Leisel Jones,Female,Australia,Australia,2006 AUS Commonwealth Games Trials,02/03/2006
7,100 BR LCM,1:06.20,Jessica Hardy,Female,United States,United States,2005 World Champs,07/24/2005
8,100 BR LCM,1:06.37,Leisel Jones,Female,Australia,Australia,2003 World Champs,07/22/2003
9,100 BR LCM,1:06.52,Penelope Heyns,Female,South Africa,South Africa,1999 US Pan Pacific Champs,08/28/1999
10,100 BR LCM,1:06.95,Penelope Heyns,Female,South Africa,South Africa,1999 CA Janet Evans Invite,07/18/1999
11,100 BR LCM,1:06.99,Penelope Heyns,Female,South Africa,South Africa,1999 CA Janet Evans Invite,07/18/1999
12,100 BR LCM,1:07.02,Penelope Heyns,Female,South Africa,South Africa,1996 Olympic Games,07/21/1996
13,100 BR LCM,1:07.46,Penelope Heyns,Female,South Africa,South Africa,,03/04/1996
14,100 BR LCM,1:07.69,Samantha Riley,Female,Australia,Australia,1994 US World Championships,09/11/1994
15,100 BR LCM,1:07.91,Silke Horner,Female,Germany,Germany,,08/21/1987
16,100 BR LCM,1:08.11,Sylvia Gerasch,Female,Germany,Germany,1986 World Champs,08/13/1986
17,100 BR LCM,1:08.29,Sylvia Gerasch,Female,Germany,Germany,,08/23/1984
18,100 BR LCM,1:08.51,Ute Geweniger,Female,Germany,Germany,,08/25/1983
19,100 BR LCM,1:08.60,Ute Geweniger,Female,Germany,Germany,,09/08/1981
20,100 BR LCM,1:09.39,Ute Geweniger,Female,Germany,Germany,,07/02/1981
21,100 BR LCM,1:09.52,Ute Geweniger,Female,Germany,Germany,,04/09/1981
22,100 BR LCM,1:10.11,Ute Geweniger,Female,Germany,Germany,,07/24/1980
23,100 BR LCM,1:10.20,Ute Geweniger,Female,Germany,Germany,,05/26/1980
24,100 BR LCM,1:10.31,Yuliya Bogdanova,Female,Russia,Russia,1978 World Champs,08/20/1978
25,100 BR LCM,1:10.86,Anke Hannelore,Female,Germany,Germany,,07/22/1976
26,100 BR LCM,1:11.11,Anke Hannelore,Female,Germany,Germany,,07/22/1976
27,100 BR LCM,1:11.93,Carola Nitschke,Female,Germany,Germany,,06/02/1976
28,100 BR LCM,1:12.28,Renate Vogel,Female,Germany,Germany,,09/01/1974
29,100 BR LCM,1:12.55,Cristel Justen,Female,Germany,Germany,,08/22/1974
30,100 BR LCM,1:12.91,Renate Vogel,Female,Germany,Germany,,08/22/1974
31,100 BR LCM,1:13.58,Catherine West,Female,United States,,1972 Olympic Games,08/26/1972
32,100 BR LCM,1:14.20,Catie Condon,Female,United States,,1968 Olympic Trials,08/24/1968
33,100 BR LCM,1:14.60,Catie Condon,Female,United States,,1967 Women's National Champs,08/17/1967
34,100 BR LCM,1:14.80,Catie Condon,Female,United States,,,07/31/1967
35,100 BR LCM,1:15.60,Catie Condon,Female,United States,,,07/07/1967
35,100 BR LCM,1:15.60,Catie Condon,Female,United States,,,12/28/1966
37,100 BR LCM,1:15.70,Svetlana Galina,Female,Russia,Russia,,07/17/1966
38,100 BR LCM,1:16.50,Svetlana Babanina,Female,Russia,Russia,,05/11/1965
39,100 BR LCM,1:17.20,Svetlana Babanina,Female,Russia,Russia,,09/03/1964
40,100 BR LCM,1:17.90,Claudia Kolb,Female,United States,,,07/11/1964
41,100 BR LCM,1:18.20,Barbara Gobel,Female,Germany,Germany,,07/01/1961
42,100 BR LCM,1:19.00,Ursela Kuper,Female,Germany,Germany,,07/14/1960
43,100 BR LCM,1:19.10,Wiltrud Urselmann,Female,Germany,Germany,,03/12/1960
44,100 BR LCM,1:19.60,Karin Beyer,Female,Germany,Germany,,09/12/1958
45,100 BR LCM,1:20.30,Karin Beyer,Female,Germany,Germany,,07/20/1958
1,200 BR LCM,2:17.55,Evgeniia Chikunova,Female,Russia,Russia,Russian National Championships (50m),04/21/2023
2,200 BR LCM,2:18.95,Tatjana Smith,Female,South Africa,South Africa,2020 Olympic Games,07/30/2021
3,200 BR LCM,2:19.11,Rikke Pedersen,Female,Denmark,Denmark,2013 World Champs,08/01/2013
4,200 BR LCM,2:19.59,Rebecca Soni,Female,United States,United States,2012 Olympic Games,08/02/2012
5,200 BR LCM,2:20.00,Rebecca Soni,Female,United States,United States,2012 Olympic Games,07/28/2012
6,200 BR LCM,2:20.12,Annamay Pierse,Female,Canada,Canada,2009 World Champs,07/30/2009
7,200 BR LCM,2:20.22,Rebecca Soni,Female,United States,United States,2008 Olympic Games,08/15/2008
8,200 BR LCM,2:20.54,Leisel Jones,Female,Australia,Australia,2006 AUS Commonwealth Games Trials,01/29/2006
9,200 BR LCM,2:21.72,Leisel Jones,Female,Australia,Australia,2005 World Champs,07/24/2005
10,200 BR LCM,2:22.44,Amanda Beard,Female,United States,United States,2004 Olympic Trials,07/07/2004
11,200 BR LCM,2:22.96,Leisel Jones,Female,Australia,Australia,,07/10/2004
12,200 BR LCM,2:22.99,Amanda Beard,Female,United States,United States,2003 World Champs,07/25/2003
12,200 BR LCM,2:22.99,Abby Qi,Female,Peoples Republic of China,Peoples Republic of China,2001 Chinese Nationals,04/13/2001
14,200 BR LCM,2:23.64,Penelope Heyns,Female,South Africa,South Africa,,08/27/1999
15,200 BR LCM,2:24.42,Penelope Heyns,Female,South Africa,South Africa,,08/26/1999
16,200 BR LCM,2:24.51,Penelope Heyns,Female,South Africa,South Africa,1999 CA Janet Evans Invite,07/18/1999
17,200 BR LCM,2:24.69,Penelope Heyns,Female,South Africa,South Africa,,07/17/1999
18,200 BR LCM,2:24.76,Rebecca Brown,Female,Australia,Australia,,03/15/1994
19,200 BR LCM,2:25.35,Anita Nall,Female,United States,,1992 National Champs,03/02/1992
20,200 BR LCM,2:25.92,Anita Nall,Female,United States,,,03/02/1992
21,200 BR LCM,2:26.71,Silke Horner,Female,Germany,Germany,1988 Olympic Games,09/17/1988
22,200 BR LCM,2:27.27,Allison Higson,Female,Canada,Canada,,05/28/1988
23,200 BR LCM,2:27.40,Silke Horner,Female,Germany,Germany,1986 World Champs,08/13/1986
24,200 BR LCM,2:28.20,Sylvia Gerasch,Female,Germany,Germany,,03/01/1986
25,200 BR LCM,2:28.33,Silke Horner,Female,Germany,Germany,,06/05/1985
26,200 BR LCM,2:28.36,Lina Kachusite,Female,Russia,Russia,,04/06/1979
27,200 BR LCM,2:31.09,Svetlana Varganova,Female,Russia,Russia,,03/30/1979
28,200 BR LCM,2:31.42,Lina Kachusite,Female,Russia,Russia,1978 World Champs,08/20/1978
29,200 BR LCM,2:33.11,Lina Kachusite,Female,Russia,Russia,,08/24/1978
30,200 BR LCM,2:33.32,Yuliya Bogdanova,Female,Russia,Russia,,04/07/1978
31,200 BR LCM,2:33.35,Marina Koshevaia,Female,Russia,Russia,,07/21/1976
32,200 BR LCM,2:34.99,Karla Linke,Female,Germany,Germany,,08/19/1974
33,200 BR LCM,2:37.44,Karla Linke,Female,Germany,Germany,,08/19/1974
34,200 BR LCM,2:37.89,Anne-Katrin Schott,Female,Germany,Germany,,07/06/1974
35,200 BR LCM,2:38.50,Catie Condon,Female,United States,,,08/26/1986
36,200 BR LCM,2:39.50,Catie Condon,Female,United States,,1967 Women's National Champs,08/17/1967
37,200 BR LCM,2:40.50,Catie Condon,Female,United States,,,07/09/1967
38,200 BR LCM,2:40.80,Galina Prosumenschikova,Female,Russia,Russia,,08/22/1966
39,200 BR LCM,2:44.60,Galina Prosumenschikova,Female,Russia,Russia,,03/23/1966
40,200 BR LCM,2:45.30,Galina Prosumenschikova,Female,Russia,Russia,,09/12/1965
41,200 BR LCM,2:45.40,Galina Prosumenschikova,Female,Russia,Russia,,05/17/1964
42,200 BR LCM,2:47.70,Galina Prosumenschikova,Female,Russia,Russia,,04/11/1964
43,200 BR LCM,2:48.00,Karin Beyer,Female,Germany,Germany,,08/05/1961
44,200 BR LCM,2:49.50,Anita Lonsborough,Female,Great Britain,Great Britain,1960 Olympic Games,08/25/1960
45,200 BR LCM,2:50.20,Wiltrud Urselmann,Female,Germany,Germany,,06/06/1960
1,50 FL LCM,24.43,Sarah Sjostrom,Female,Sweden,Sweden,Swedish Championships,07/05/2014
2,50 FL LCM,25.07,Therese Alshammar,Female,Sweden,Sweden,2009 World Champs,07/31/2009
3,50 FL LCM,25.33,Marleen Veldhuis,Female,Netherlands,Netherlands,2008 Olympic Invite,04/19/2008
4,50 FL LCM,25.46,Therese Alshammar,Female,Sweden,Sweden,,06/13/2007
5,50 FL LCM,25.57,Anna-Karin Kammerling,Female,Sweden,Sweden,2002 European Champs,07/29/2002
6,50 FL LCM,25.64,Inge De Bruijn,Female,Netherlands,Netherlands,,05/26/2000
7,50 FL LCM,25.83,Inge De Bruijn,Female,Netherlands,Netherlands,,05/20/2000
8,50 FL LCM,26.29,Anna-Karin Kammerling,Female,Sweden,Sweden,,07/27/1999
9,50 FL LCM,26.39,Anna-Karin Kammerling,Female,Sweden,Sweden,,07/09/1999
10,50 FL LCM,26.54,Inge De Bruijn,Female,Netherlands,Netherlands,,06/27/1996
1,100 FL LCM,54.33,Gretchen Walsh,Female,United States,United States,2026 FG Fort Lauderdale Open,05/02/2026
2,100 FL LCM,54.60,Gretchen Walsh,Female,United States,United States,2025 TYR Pro Swim Series - Fort Lauderdale,05/03/2025
3,100 FL LCM,55.09,Gretchen Walsh,Female,United States,United States,2025 TYR Pro Swim Series - Fort Lauderdale,05/03/2025
4,100 FL LCM,55.18,Gretchen Walsh,Female,United States,United States,2024 Olympic Trials,06/15/2024
5,100 FL LCM,55.48,Sarah Sjostrom,Female,Sweden,Sweden,2016 Olympic Games,08/07/2016
6,100 FL LCM,55.64,Sarah Sjostrom,Female,Sweden,Sweden,2015 World Champs,08/03/2015
7,100 FL LCM,55.74,Sarah Sjostrom,Female,Sweden,Sweden,2015 World Champs,08/02/2015
8,100 FL LCM,55.98,Dana Vollmer,Female,United States,United States,2012 Olympic Games,07/29/2012
9,100 FL LCM,56.06,Sarah Sjostrom,Female,Sweden,Sweden,2009 World Champs,07/27/2009
10,100 FL LCM,56.44,Sarah Sjostrom,Female,Sweden,Sweden,2009 World Champs,07/26/2009
11,100 FL LCM,56.61,Inge De Bruijn,Female,Netherlands,Netherlands,2000 Olympic Games,09/17/2000
12,100 FL LCM,56.64,Inge De Bruijn,Female,Netherlands,Netherlands,2000 PN Senior Regional,07/20/2000
13,100 FL LCM,56.69,Inge De Bruijn,Female,Netherlands,Netherlands,,05/28/2000
14,100 FL LCM,57.88,Jenny Thompson,Female,United States,United States,Pan Pacs,08/23/1999
15,100 FL LCM,57.93,Mary Meagher,Female,United States,,1981 National Champs,08/16/1981
16,100 FL LCM,59.26,Mary Meagher,Female,United States,,,04/11/1980
17,100 FL LCM,59.46,Andrea Pollack,Female,Germany,Germany,,07/03/1978
18,100 FL LCM,59.78,Christiane Knacke,Female,Germany,Germany,,08/28/1977
19,100 FL LCM,1:00.13,Kornelia Ender,Female,Germany,Germany,1976 Olympic Games,07/22/1976
20,100 FL LCM,1:01.24,Kornelia Ender,Female,Germany,Germany,1975 World Champs,07/19/1975
21,100 FL LCM,1:01.33,Kornelia Ender,Female,Germany,Germany,,06/09/1975
22,100 FL LCM,1:01.88,Rosemarie Kother,Female,Germany,Germany,,09/01/1974
23,100 FL LCM,1:01.99,Rosemarie Kother,Female,Germany,Germany,,08/22/1974
24,100 FL LCM,1:02.09,Rosemarie Kother,Female,Germany,Germany,,08/21/1974
25,100 FL LCM,1:02.31,Kornelia Ender,Female,Germany,Germany,,07/14/1973
26,100 FL LCM,1:03.05,Kornelia Ender,Female,Germany,Germany,,04/14/1973
27,100 FL LCM,1:03.34,Mayumi Aoki,Female,Japan,Japan,1972 Olympic Games,08/26/1972
28,100 FL LCM,1:03.80,Andrea Gyarmati,Female,Hungary,Hungary,,08/31/1972
29,100 FL LCM,1:03.90,Mayumi Aoki,Female,Japan,Japan,,07/21/1972
30,100 FL LCM,1:04.10,Alice Jones,Female,Unknown,,,08/20/1970
31,100 FL LCM,1:04.50,Ada Kok,Female,Netherlands,Netherlands,,08/14/1965
32,100 FL LCM,1:04.70,Sharon Clark,Female,United States,,1964 Olympic Games,10/10/1964
33,100 FL LCM,1:05.10,Ada Kok,Female,Netherlands,Netherlands,,05/30/1964
34,100 FL LCM,1:06.10,Ada Kok,Female,Netherlands,Netherlands,,09/01/1963
35,100 FL LCM,1:07.30,Mary Stewart,Female,Canada,Canada,,07/28/1962
36,100 FL LCM,1:07.80,Susan Doerr,Female,United States,,,08/12/1961
37,100 FL LCM,1:08.20,Susan Doerr,Female,United States,,1961 Women's National Champs,08/10/1961
38,100 FL LCM,1:08.80,Mary Stewart,Female,Canada,Canada,,08/12/1961
39,100 FL LCM,1:08.90,Janice Andrew,Female,Australia,Australia,,04/02/1961
40,100 FL LCM,1:09.10,Nancy Ramey,Female,United States,,,09/02/1959
41,100 FL LCM,1:09.60,Nancy Ramey,Female,United States,,,06/28/1958
42,100 FL LCM,1:10.50,Atie Voorbij,Female,Netherlands,Netherlands,,08/04/1957
42,100 FL LCM,1:10.50,Atie Voorbij,Female,Netherlands,Netherlands,,11/12/1956
44,100 FL LCM,1:11.80,Shelley Mann,Female,United States,,1956 Women's National Champs,07/04/1956
1,200 FL LCM,2:01.81,Zige Liu,Female,Peoples Republic of China,Peoples Republic of China,2009 CHN International,10/21/2009
2,200 FL LCM,2:03.41,Jessicah Schipper,Female,Australia,Australia,2009 World Champs,07/26/2009
3,200 FL LCM,2:04.14,Mary Descenza,Female,United States,United States,2009 World Champs,07/30/2009
4,200 FL LCM,2:04.18,Zige Liu,Female,Peoples Republic of China,Peoples Republic of China,2008 Olympic Games,08/14/2008
5,200 FL LCM,2:05.40,Jessicah Schipper,Female,Australia,Australia,2006 Pan Pacific Champs,08/17/2006
6,200 FL LCM,2:05.61,Otylia Jedrzejczak,Female,Poland,Poland,2005 World Champs,07/24/2005
7,200 FL LCM,2:05.78,Otylia Jedrzejczak,Female,Poland,Poland,2002 US European Champs,08/04/2002
8,200 FL LCM,2:05.81,Susie O'Neill,Female,Australia,Australia,,05/21/2000
9,200 FL LCM,2:05.96,Mary Meagher,Female,United States,,1981 National Champs,08/13/1981
10,200 FL LCM,2:08.41,Mary Meagher,Female,United States,,,08/06/1979
11,200 FL LCM,2:09.77,Mary Meagher,Female,United States,,,07/07/1979
12,200 FL LCM,2:09.87,Tracy Caulkins,Female,United States,,1978 World Champs,08/20/1978
12,200 FL LCM,2:09.87,Andrea Pollack,Female,Germany,Germany,,07/04/1978
14,200 FL LCM,2:11.20,Andrea Pollack,Female,Germany,Germany,,04/09/1978
15,200 FL LCM,2:11.22,Rosemarie Gabriel,Female,Germany,Germany,,06/05/1976
16,200 FL LCM,2:12.84,Rosemarie Gabriel,Female,Germany,Germany,,06/04/1976
17,200 FL LCM,2:13.60,Rosemarie Gabriel,Female,Germany,Germany,,03/14/1976
18,200 FL LCM,2:13.76,Rosemarie Kother,Female,Germany,Germany,1973 World Champs,08/31/1973
19,200 FL LCM,2:15.45,Rosemarie Kother,Female,Germany,Germany,,09/08/1973
20,200 FL LCM,2:15.57,Karen Moe,Female,Unknown,,1972 Olympic Games,08/26/1972
21,200 FL LCM,2:16.62,Karen Moe,Female,Unknown,,1972 National Champs,08/02/1972
21,200 FL LCM,2:16.62,Karen Moe,Female,Unknown,,1972 Olympic Trials,08/02/1972
23,200 FL LCM,2:18.40,Ellie Daniel,Female,United States,,1971 National Champs,08/25/1971
24,200 FL LCM,2:19.30,Alice Jones,Female,Unknown,,,08/22/1970
25,200 FL LCM,2:19.51,Lynn Colella,Female,United States,,1970 National Champs,08/20/1970
