Rank,Event,Swim Time,Name,Gender,Team,Swimmer Country,Meet,Swim Date
7,200 FR LCM,1:55.45,Federica Pellegrini,Female,Italy,Italy,2008 Olympic Games,08/11/2008
8,200 FR LCM,1:55.52,Laure Manaudou,Female,France,France,2007 World Champs,03/25/2007
9,200 FR LCM,1:56.47,Federica Pellegrini,Female,Italy,Italy,2007 World Champs,03/25/2007
10,200 FR LCM,1:56.64,Franziska Van Almsick,Female,Germany,Germany,2002 US European Champs,08/04/2002
11,200 FR LCM,1:56.78,Franziska Van Almsick,Female,Germany,Germany,1994 World Champs,09/06/1994
12,200 FR LCM,1:57.55,Heike Friedrich,Female,Germany,Germany,,06/18/1986
13,200 FR LCM,1:57.75,Kristin Otto,Female,Germany,Germany,,05/23/1984
14,200 FR LCM,1:58.23,Sippy Woodhead,Female,United States,,1979 US NAG Records,09/02/1979
15,200 FR LCM,1:58.43,Sippy Woodhead,Female,United States,,,07/03/1979
16,200 FR LCM,1:58.53,Sippy Woodhead,Female,United States,,1978 US NAG Records,08/22/1978
17,200 FR LCM,1:59.04,Barbara Krause,Female,Germany,Germany,,07/02/1978
18,200 FR LCM,1:59.26,Kornelia Ender,Female,Germany,Germany,1976 Olympic Games,07/22/1976
19,200 FR LCM,1:59.78,Kornelia Ender,Female,Germany,Germany,,06/02/1976
20,200 FR LCM,2:02.27,Kornelia Ender,Female,Germany,Germany,,03/15/1975
21,200 FR LCM,2:02.94,Shirley Babashoff,Female,United States,,1974 National Champs,08/22/1974
22,200 FR LCM,2:03.22,Kornelia Ender,Female,Germany,Germany,,08/22/1974
23,200 FR LCM,2:03.56,Shane Gould,Female,Australia,Australia,1972 Olympic Games,09/01/1972
24,200 FR LCM,2:04.92,Keena Zorovich,Female,Unknown,,1972 Olympic Games,08/26/1972
25,200 FR LCM,2:05.21,Shirley Babashoff,Female,United States,,1972 Olympic Trials,08/02/1972
26,200 FR LCM,2:05.80,Shane Gould,Female,Australia,Australia,,11/26/1971
27,200 FR LCM,2:06.50,Shane Gould,Female,Australia,Australia,,05/01/1971
28,200 FR LCM,2:06.70,Debbie Meyer Weber,Female,Unknown,,1968 Olympic Trials,08/24/1968
29,200 FR LCM,2:07.90,Linda McGuire,Female,United States,,,08/24/1968
30,200 FR LCM,2:08.80,Edith Wetzel,Female,Unknown,,,08/02/1968
31,200 FR LCM,2:09.30,Debbie Meyer Weber,Female,Unknown,,1968 National Champs,08/01/1968
32,200 FR LCM,2:09.50,Susan Pankey,Female,United States,,,07/06/1968
33,200 FR LCM,2:09.70,Pamela Kruse,Female,United States,,1967 Women's National Champs,08/17/1967
34,200 FR LCM,2:10.50,Pokey Watson,Female,United States,,,08/19/1966
35,200 FR LCM,2:11.60,Dawn Fraser,Female,Australia,Australia,,02/27/1960
36,200 FR LCM,2:14.70,Dawn Fraser,Female,Australia,Australia,,02/22/1958
37,200 FR LCM,2:17.70,Dawn Fraser,Female,Australia,Australia,,02/10/1958
38,200 FR LCM,2:18.50,Lorraine Crapp,Female,Australia,Australia,,10/20/1956
39,200 FR LCM,2:19.30,Lorraine Crapp,Female,Australia,Australia,,08/25/1956
40,200 FR LCM,2:20.70,Dawn Fraser,Female,Australia,Australia,,02/25/1956
1,400 FR LCM,3:54.18,Summer McIntosh,Female,Canada,Canada,2025 Canadian Swimming Trials,06/07/2025
2,400 FR LCM,3:55.38,Ariarne Titmus,Female,Australia,Australia,2023 World Champs,07/23/2023
3,400 FR LCM,3:56.08,Summer McIntosh,Female,Canada,Canada,Bell Canadian Swimming Trials 2023,03/28/2023
4,400 FR LCM,3:56.40,Ariarne Titmus,Female,Australia,Australia,Australian National Championships (50m),05/22/2022
5,400 FR LCM,3:56.46,Katie Ledecky,Female,United States,United States,2016 Olympic Games,08/07/2016
6,400 FR LCM,3:58.37,Katie Ledecky,Female,United States,United States,2014 Pan Pacific Champs,08/23/2014
7,400 FR LCM,3:58.86,Katie Ledecky,Female,United States,United States,2014 Summer Nationals,08/09/2014
8,400 FR LCM,3:59.15,Federica Pellegrini,Female,Italy,Italy,2009 World Champs,07/26/2009
9,400 FR LCM,4:00.41,Federica Pellegrini,Female,Italy,Italy,,06/27/2009
10,400 FR LCM,4:00.66,Joanne Jackson,Female,Great Britain,Great Britain,2009 GBR CHAMPS,03/16/2009
11,400 FR LCM,4:01.53,Federica Pellegrini,Female,Italy,Italy,2008 European Champs,03/18/2008
12,400 FR LCM,4:02.13,Laure Manaudou,Female,France,France,2006 European Champs,07/31/2006
13,400 FR LCM,4:03.03,Laure Manaudou,Female,France,France,2006 French National Championships,05/12/2006
14,400 FR LCM,4:03.85,Janet Evans,Female,United States,,1988 Olympic Games,09/22/1988
15,400 FR LCM,4:05.45,Janet Evans,Female,United States,,1987 Orlando Meet,12/20/1987
16,400 FR LCM,4:06.28,Tracey Wickham,Female,Australia,Australia,1978 World Champs,08/20/1978
17,400 FR LCM,4:07.66,Kim Linehan,Female,United States,,1978 National Champs,08/02/1978
18,400 FR LCM,4:08.91,Petra Thumer,Female,Germany,Germany,,08/17/1977
19,400 FR LCM,4:09.89,Petra Thumer,Female,Germany,Germany,1976 Olympic Games,07/20/1976
20,400 FR LCM,4:11.69,Barbara Krause,Female,Germany,Germany,,06/03/1976
21,400 FR LCM,4:14.76,Shirley Babashoff,Female,United States,,,06/20/1975
22,400 FR LCM,4:15.77,Shirley Babashoff,Female,United States,,1974 National Champs,08/22/1974
23,400 FR LCM,4:17.33,Heather Harper,Female,Unknown,,,06/28/1974
24,400 FR LCM,4:18.07,Keena Zorovich,Female,Unknown,,1973 National Champs,08/20/1973
25,400 FR LCM,4:19.04,Shane Gould,Female,Australia,Australia,1972 Olympic Games,08/30/1972
26,400 FR LCM,4:21.20,Shane Gould,Female,Australia,Australia,,07/09/1971
27,400 FR LCM,4:22.60,Karen Moras,Female,Australia,Australia,,04/30/1971
28,400 FR LCM,4:24.30,Debbie Meyer Weber,Female,Unknown,,,08/20/1970
29,400 FR LCM,4:24.50,Debbie Meyer Weber,Female,Unknown,,1968 Olympic Trials,08/24/1968
30,400 FR LCM,4:26.70,Debbie Meyer Weber,Female,Unknown,,1968 National Champs,08/01/1968
31,400 FR LCM,4:29.00,Debbie Meyer Weber,Female,Unknown,,1967 Women's National Champs,08/17/1967
32,400 FR LCM,4:32.60,Debbie Meyer Weber,Female,Unknown,,,07/27/1967
33,400 FR LCM,4:36.40,Pamela Kruse,Female,United States,,,07/07/1967
34,400 FR LCM,4:36.80,Pamela Kruse,Female,United States,,,06/30/1967
35,400 FR LCM,4:38.00,Martha Randall,Female,Unknown,,,08/26/1965
36,400 FR LCM,4:39.20,Martha Randall,Female,Unknown,,1965 National Champs,08/11/1965
1,800 FR LCM,8:04.12,Katie Ledecky,Female,United States,United States,2025 TYR Pro Swim Series - Fort Lauderdale,05/03/2025
2,800 FR LCM,8:04.79,Katie Ledecky,Female,United States,United States,2016 Olympic Games,08/12/2016
3,800 FR LCM,8:06.68,Katie Ledecky,Female,United States,United States,2016 Pro Series - Austin,01/17/2016
4,800 FR LCM,8:07.39,Katie Ledecky,Female,United States,United States,2015 World Champs,08/08/2015
5,800 FR LCM,8:11.00,Katie Ledecky,Female,United States,United States,2014 Woodlands Senior Invite,06/22/2014
6,800 FR LCM,8:13.86,Katie Ledecky,Female,United States,United States,2013 World Champs,08/03/2013
7,800 FR LCM,8:14.10,Rebecca Adlington,Female,Great Britain,Great Britain,2008 Olympic Games,08/16/2008
8,800 FR LCM,8:16.22,Janet Evans,Female,United States,,1989 Pan Pacific Games,08/20/1989
9,800 FR LCM,8:17.12,Janet Evans,Female,United States,,1988 US NAG Records,03/22/1988
10,800 FR LCM,8:19.53,Anke Mohring,Female,Germany,Germany,,08/19/1987
11,800 FR LCM,8:22.44,Janet Evans,Female,United States,,1987 National Champs,07/27/1987
12,800 FR LCM,8:24.62,Tracey Wickham,Female,Australia,Australia,,08/05/1978
13,800 FR LCM,8:29.35,Sippy Woodhead,Female,United States,,1978 US NAG Records,01/02/1978
14,800 FR LCM,8:30.53,Tracey Wickham,Female,Australia,Australia,,02/21/1978
15,800 FR LCM,8:31.30,Michelle Ford,Female,Australia,Australia,,01/21/1978
16,800 FR LCM,8:34.86,Michelle Ford,Female,Australia,Australia,,01/06/1978
17,800 FR LCM,8:35.04,Petra Thumer,Female,Germany,Germany,,07/09/1977
18,800 FR LCM,8:37.14,Petra Thumer,Female,Germany,Germany,1976 Olympic Games,07/25/1976
19,800 FR LCM,8:39.63,Shirley Babashoff,Female,United States,,1976 Olympic Trials,06/16/1976
20,800 FR LCM,8:40.68,Petra Thumer,Female,Germany,Germany,,06/04/1976
21,800 FR LCM,8:43.48,Jennifer Turrall,Female,Australia,Australia,,03/31/1975
22,800 FR LCM,8:47.50,Keena Zorovich,Female,Unknown,,,08/25/1974
22,800 FR LCM,8:47.50,Jo Ann Harshbarger,Female,United States,,,08/25/1974
24,800 FR LCM,8:47.66,Jo Ann Harshbarger,Female,United States,,,08/25/1974
25,800 FR LCM,8:50.10,Jennifer Turrall,Female,Australia,Australia,,01/05/1974
26,800 FR LCM,8:52.97,Novella Calligaris,Female,Italy,Italy,1973 World Champs,08/31/1973
27,800 FR LCM,8:53.68,Keena Zorovich,Female,Unknown,,1972 Olympic Games,09/03/1972
28,800 FR LCM,8:53.83,Jo Ann Harshbarger,Female,United States,,1972 Olympic Trials,08/02/1972
28,800 FR LCM,8:53.83,Jo Ann Harshbarger,Female,United States,,1972 National Champs,08/02/1972
30,800 FR LCM,8:58.10,Shane Gould,Female,Australia,Australia,,12/03/1971
31,800 FR LCM,8:59.37,Ann Simmons,Female,United States,,,09/10/1971
32,800 FR LCM,9:02.45,Karen Moras,Female,Australia,Australia,,07/18/1970
33,800 FR LCM,9:09.10,Karen Moras,Female,Australia,Australia,,03/01/1970
34,800 FR LCM,9:10.36,Debbie Meyer Weber,Female,Unknown,,,08/28/1968
35,800 FR LCM,9:17.80,Debbie Meyer Weber,Female,Unknown,,,08/04/1968
36,800 FR LCM,9:19.00,Debbie Meyer Weber,Female,Unknown,,,07/21/1968
37,800 FR LCM,9:22.90,Debbie Meyer Weber,Female,Unknown,,,07/29/1967
38,800 FR LCM,9:35.80,Debbie Meyer Weber,Female,Unknown,,,07/09/1967
39,800 FR LCM,9:36.90,Sharon Rittenhouse,Female,United States,,,09/28/1964
40,800 FR LCM,9:47.30,Patty Caretto,Female,United States,,,07/30/1964
41,800 FR LCM,9:51.60,Carolyn Helmath,Female,United States,,,08/26/1962
42,800 FR LCM,9:55.60,Jane Cederquist,Female,Sweden,Sweden,,08/17/1960
1,1500 FR LCM,15:20.48,Katie Ledecky,Female,United States,United States,2018 Pro Series - Indy,05/16/2018
2,1500 FR LCM,15:25.48,Katie Ledecky,Female,United States,United States,2015 World Champs,08/04/2015
3,1500 FR LCM,15:27.71,Katie Ledecky,Female,United States,United States,2015 World Champs,08/03/2015
4,1500 FR LCM,15:28.36,Katie Ledecky,Female,United States,United States,2014 Pan Pacific Champs,08/24/2014
5,1500 FR LCM,15:34.23,Katie Ledecky,Female,United States,United States,2014 Woodlands Senior Invite,06/19/2014
6,1500 FR LCM,15:36.53,Katie Ledecky,Female,United States,United States,2013 World Champs,07/30/2013
7,1500 FR LCM,15:42.54,Kate Ziegler,Female,United States,United States,2007 CA SMC,06/17/2007
8,1500 FR LCM,15:52.10,Janet Evans,Female,United States,,1988 US NAG Records,03/26/1988
9,1500 FR LCM,16:00.73,Janet Evans,Female,United States,,1987 National Champs,07/31/1987
10,1500 FR LCM,16:04.49,Kim Linehan,Female,Unknown,,1979 National Champs,08/19/1979
11,1500 FR LCM,16:06.63,Tracey Wickham,Female,Australia,Australia,,02/25/1979
12,1500 FR LCM,16:14.93,Tracey Wickham,Female,Australia,Australia,,02/08/1978
13,1500 FR LCM,16:24.60,Alice Brown,Female,United States,,,08/21/1977
13,1500 FR LCM,16:24.60,Alice Brown,Female,United States,,,08/25/1977
13,1500 FR LCM,16:24.60,Alice Brown,Female,United States,,,01/01/1977
16,1500 FR LCM,16:33.94,Jennifer Turrall,Female,Australia,Australia,,08/25/1974
16,1500 FR LCM,16:33.94,Jenny Turrall,Female,Australia,,1974 National Champs,08/22/1974
18,1500 FR LCM,16:39.28,Jennifer Turrall,Female,Australia,Australia,,08/03/1974
19,1500 FR LCM,16:43.40,Jennifer Turrall,Female,Australia,Australia,,07/13/1974
20,1500 FR LCM,16:48.20,Jennifer Turrall,Female,Australia,Australia,,01/09/1974
21,1500 FR LCM,16:49.90,Jennifer Turrall,Female,Australia,Australia,,12/09/1973
22,1500 FR LCM,16:54.14,Jo Ann Harshbarger,Female,United States,,1973 National Champs,08/20/1973
23,1500 FR LCM,16:56.90,Shane Gould,Female,Australia,Australia,,02/11/1973
24,1500 FR LCM,17:00.60,Shane Gould,Female,Australia,Australia,,12/12/1971
25,1500 FR LCM,17:19.20,Cathy Calhoun,Female,United States,,1971 National Champs,08/25/1971
26,1500 FR LCM,17:19.90,Debbie Meyer Weber,Female,Unknown,,1969 National Champs,08/14/1969
27,1500 FR LCM,17:31.20,Debbie Meyer Weber,Female,Unknown,,,07/21/1968
28,1500 FR LCM,17:50.20,Debbie Meyer Weber,Female,Unknown,,1967 Women's National Champs,08/17/1967
29,1500 FR LCM,18:11.10,Debbie Meyer Weber,Female,Unknown,,,07/09/1967
30,1500 FR LCM,18:12.90,Patricia Carreto,Female,Unknown,,,08/21/1966
31,1500 FR LCM,18:15.60,Debbie Meyer Weber,Female,Unknown,,1966 National Champs,08/18/1966
32,1500 FR LCM,18:23.70,Patricia Carreto,Female,Unknown,,,08/12/1965
